2011 National Household Survey Data on the Annual Earnings and Employment of Graduates,,,,,,,,,,,,,,,,
HIGHEST_LEVEL_OF_STUDY,HIGHEST_LEVEL_OF_STUDY_CODE,YEARS_SINCE_GRADUATION,YEARS_SINCE_GRADUATION_CODE,MAJOR_FIELD_OF_STUDY,MAJOR_FIELD_OF_STUDY_CODE,LABOUR_FORCE_ACTIVITY,LABOUR_FORCE_ACTIVITY_CODE,WORK_ACTIVITY,WORK_ACTIVITY_CODE,TOTAL_EMPLOYMENT,WITHOUT_EMPLOYMENT,WITH_EMPLOYMENT,QUARTILE_1,QUARTILE_2,QUARTILE_3,AVERAGE_HOURS_WORKED
Bachelor's degree,LOS050,5 years,YSG05,Finance and Financial Management Services,FOS21003,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,4595.0,155.0,4445.0,42585.1,58199.6,77022.4,40.7
Bachelor's degree,LOS050,5 years,YSG05,Sociology,FOS20706,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,4590.0,40.0,4550.0,36895.0,47169.9,60443.0,37.0
Bachelor's degree,LOS050,5 years,YSG05,English language and literature,FOS20602,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,4430.0,50.0,4380.0,29485.1,44292.1,58918.6,37.2
Bachelor's degree,LOS050,5 years,YSG05,"Electrical, Electronics and Communications Engineering",FOS20401,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,4140.0,65.0,4075.0,52587.6,66332.6,82064.3,39.5
Bachelor's degree,LOS050,5 years,YSG05,Computer Engineering,FOS20405,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,3870.0,70.0,3800.0,56085.1,68014.3,82242.8,39.7
Bachelor's degree,LOS050,5 years,YSG05,History,FOS20606,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,3855.0,105.0,3750.0,33484.1,45525.1,58002.2,38.6
Bachelor's degree,LOS050,5 years,YSG05,"Agriculture, natural resources and conservation",FOS201,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,3825.0,40.0,3780.0,36778.8,52948.7,66937.5,41.3
Bachelor's degree,LOS050,5 years,YSG05,Human Resources Management and Services,FOS21004,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,3715.0,40.0,3675.0,39299.8,49544.1,64275.1,36.5
Bachelor's degree,LOS050,5 years,YSG05,Marketing,FOS21005,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,3510.0,85.0,3430.0,39054.9,54390.7,68066.0,39.0
Bachelor's degree,LOS050,5 years,YSG05,Social Work,FOS21007,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,3430.0,65.0,3370.0,34371.9,47020.0,56368.0,33.2
Bachelor's degree,LOS050,5 years,YSG05,Civil engineering and related studies,FOS20404,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,3305.0,50.0,3260.0,54889.0,66313.6,78287.1,41.2
Bachelor's degree,LOS050,5 years,YSG05,Criminology,FOS20702,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,2790.0,60.0,2730.0,40468.4,51322.9,68282.4,37.5
Bachelor's degree,LOS050,5 years,YSG05,Fine Arts and Art Studies,FOS20802,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,2570.0,55.0,2520.0,26529.2,40736.6,55200.5,36.5
Bachelor's degree,LOS050,5 years,YSG05,Other computer and information sciences and support,FOS20202,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,2475.0,90.0,2385.0,42023.5,57055.3,70102.4,38.2
Bachelor's degree,LOS050,5 years,YSG05,"Geography, cartography, demography and population studies and urban studies/affaires",FOS20705,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,2375.0,20.0,2355.0,39562.7,50725.4,65419.4,37.3
Bachelor's degree,LOS050,5 years,YSG05,Therapy and assessment programs,FOS20908,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,2335.0,55.0,2280.0,41928.4,54039.2,67921.4,35.1
Bachelor's degree,LOS050,5 years,YSG05,Design and Applied Arts,FOS20801,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,2330.0,80.0,2250.0,32574.1,42073.1,52419.8,38.2
Bachelor's degree,LOS050,5 years,YSG05,"Pharmacy, Pharmaceutical Sciences and Administration",FOS20909,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,2245.0,45.0,2200.0,82232.2,100174.5,115389.0,38.2
Bachelor's degree,LOS050,5 years,YSG05,Natural resources and conservation,FOS20102,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,2165.0,35.0,2130.0,37287.7,53487.1,68282.4,39.9
Bachelor's degree,LOS050,5 years,YSG05,Mathematics and statistics,FOS20203,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,2105.0,30.0,2075.0,43013.7,58791.9,71337.6,38.7
Bachelor's degree,LOS050,5 years,YSG05,Other health professions and related clinical sciences,FOS20911,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,1875.0,25.0,1855.0,38448.9,52660.5,66382.2,35.6
Bachelor's degree,LOS050,5 years,YSG05,Other visual and performing arts,FOS20804,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,1790.0,0.0,1775.0,23270.4,34900.8,49663.4,37.8
Bachelor's degree,LOS050,5 years,YSG05,Family and consumer sciences/human sciences,FOS20709,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,1735.0,25.0,1715.0,31357.9,44525.4,57942.1,32.6
Bachelor's degree,LOS050,5 years,YSG05,"Foreign languages, literatures and linguistics",FOS20601,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,1725.0,0.0,1710.0,35906.8,46262.0,57704.5,35.7
Bachelor's degree,LOS050,5 years,YSG05,"Agriculture, agricultural operations and related sciences",FOS20101,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,1665.0,0.0,1650.0,35471.9,52735.4,65909.3,43.0
Bachelor's degree,LOS050,5 years,YSG05,Architecture and related science,FOS20408,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,1600.0,30.0,1570.0,39041.2,51572.1,65501.8,36.9
Bachelor's degree,LOS050,5 years,YSG05,Other social sciences,FOS20707,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,1595.0,45.0,1555.0,31115.1,43698.8,57152.4,34.6
Bachelor's degree,LOS050,5 years,YSG05,Chemical engineering and related studies,FOS20403,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,1525.0,25.0,1505.0,62110.9,76295.0,101479.4,40.0
Bachelor's degree,LOS050,5 years,YSG05,Anthropology and archeology,FOS20701,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,1410.0,20.0,1385.0,31720.0,43844.5,59523.5,36.8
Bachelor's degree,LOS050,5 years,YSG05,Philosophy and religious studies,FOS20603,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,1235.0,25.0,1210.0,30529.2,40619.4,55369.4,37.3
Bachelor's degree,LOS050,5 years,YSG05,Chemistry,FOS20502,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,1105.0,0.0,1100.0,37818.7,53004.6,66221.8,36.4
Bachelor's degree,LOS050,5 years,YSG05,Music,FOS20803,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,910.0,0.0,890.0,20051.6,33442.9,46454.1,37.2
Bachelor's degree,LOS050,5 years,YSG05,Geological and Earth Sciences/Geosciences,FOS20503,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,890.0,20.0,870.0,52545.4,71731.3,96680.2,39.2
Bachelor's degree,LOS050,5 years,YSG05,Hospitality Administration/Management,FOS21006,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,795.0,0.0,785.0,31466.7,41001.6,53361.5,40.1
Bachelor's degree,LOS050,5 years,YSG05,French language and literature,FOS20607,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,760.0,0.0,750.0,31010.6,43544.7,52203.4,35.2
Bachelor's degree,LOS050,5 years,YSG05,Industrial and manufacturing engineering,FOS20406,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,740.0,15.0,725.0,48325.9,60183.3,74418.1,40.1
Bachelor's degree,LOS050,5 years,YSG05,Security and protective services,FOS21008,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,710.0,0.0,705.0,45581.1,61178.8,73161.8,39.0
Bachelor's degree,LOS050,5 years,YSG05,Theological and religious vocations,FOS20604,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,595.0,0.0,595.0,31607.1,41307.7,50942.9,39.6
Bachelor's degree,LOS050,5 years,YSG05,Physics,FOS20504,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,550.0,0.0,550.0,32852.8,53266.4,71565.6,42.7
Bachelor's degree,LOS050,5 years,YSG05,Public Health,FOS20903,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,375.0,0.0,340.0,47551.0,58642.0,72173.7,36.9
Bachelor's degree,LOS050,5 years,YSG05,Public administration and other social service professions,FOS21009,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,285.0,0.0,280.0,40179.2,51386.3,66199.6,37.0
Bachelor's degree,LOS050,5 years,YSG05,Other physical sciences,FOS20505,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,280.0,0.0,275.0,38891.3,57514.5,73672.7,39.9
Master's degree,LOS070,5 years,YSG05,Total- Major Field of Study - Classification of Instructional Programs 2000,FOS2,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,51110.0,810.0,50300.0,54998.8,74278.7,94504.5,38.0
Master's degree,LOS070,5 years,YSG05,All University Programs,FOS2,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,50250.0,790.0,49460.0,55142.4,74409.6,94603.7,38.0
Master's degree,LOS070,5 years,YSG05,"Business, management, marketing and related support services",FOS210,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,15470.0,260.0,15210.0,63342.9,86197.3,110522.3,39.6
Master's degree,LOS070,5 years,YSG05,Business and commerce and administrations,FOS21001,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,9600.0,200.0,9405.0,67029.3,92050.0,116483.7,40.8
Master's degree,LOS070,5 years,YSG05,Social and behavioural sciences,FOS207,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,6970.0,60.0,6910.0,50504.8,69349.7,88961.1,36.7
Master's degree,LOS070,5 years,YSG05,Architecture and engineering,FOS204,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,6100.0,160.0,5940.0,61818.5,79222.4,100164.0,38.5
Master's degree,LOS070,5 years,YSG05,Education,FOS20300,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,5435.0,70.0,5365.0,57132.3,71990.0,85201.8,37.1
Master's degree,LOS070,5 years,YSG05,"Health, human sciences, parks, recreation and fitness",FOS209,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,4495.0,100.0,4395.0,54988.3,73270.5,89118.4,38.3
Master's degree,LOS070,5 years,YSG05,Physical and life sciences technologies,FOS205,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,3450.0,80.0,3365.0,50139.5,68452.4,86167.8,36.2
Master's degree,LOS070,5 years,YSG05,Humanities,FOS206,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,3165.0,15.0,3150.0,42404.6,58334.8,73577.7,35.8
Master's degree,LOS070,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,2645.0,25.0,2615.0,56937.0,73096.3,89953.4,37.0
Master's degree,LOS070,5 years,YSG05,Biological and biomedical science,FOS20501,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,2430.0,50.0,2380.0,47556.3,65937.8,82810.7,36.2
Master's degree,LOS070,5 years,YSG05,Other engineering related fields,FOS20407,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,1710.0,50.0,1665.0,69298.0,84484.0,104708.7,39.4
Master's degree,LOS070,5 years,YSG05,"Agriculture, natural resources and conservation",FOS201,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,1645.0,15.0,1630.0,53244.3,69319.1,86857.1,38.7
Master's degree,LOS070,5 years,YSG05,Other health professions and related clinical sciences,FOS20911,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,1485.0,25.0,1460.0,56642.5,72955.9,94711.4,41.6
Master's degree,LOS070,5 years,YSG05,Accounting and Related Services,FOS21002,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,1455.0,20.0,1435.0,69738.2,91880.1,115456.6,41.0
Master's degree,LOS070,5 years,YSG05,Social Work,FOS21007,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,1430.0,0.0,1420.0,49072.2,64495.7,77762.4,32.5
Master's degree,LOS070,5 years,YSG05,Psychology,FOS20708,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,1320.0,0.0,1310.0,44953.0,61537.7,74471.9,33.8
Master's degree,LOS070,5 years,YSG05,Therapy and assessment programs,FOS20908,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,1240.0,20.0,1220.0,54264.1,70865.7,81087.8,34.9
Master's degree,LOS070,5 years,YSG05,Political science and government,FOS20704,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,1235.0,0.0,1230.0,52026.0,72589.6,93631.4,37.5
Master's degree,LOS070,5 years,YSG05,Architecture and related science,FOS20408,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,1180.0,15.0,1160.0,51861.3,63496.0,81482.7,36.6
Master's degree,LOS070,5 years,YSG05,Natural resources and conservation,FOS20102,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,1140.0,0.0,1130.0,52610.9,70995.5,88279.1,37.6
Master's degree,LOS070,5 years,YSG05,Finance and Financial Management Services,FOS21003,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,1090.0,0.0,1085.0,73706.5,98043.1,121665.0,39.8
Master's degree,LOS070,5 years,YSG05,Economics,FOS20703,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,1080.0,0.0,1070.0,64479.9,85023.4,97819.3,37.9
Master's degree,LOS070,5 years,YSG05,"Law, legal services and legal studies",FOS20711,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,1045.0,15.0,1035.0,55668.1,78071.8,107771.2,40.6
Master's degree,LOS070,5 years,YSG05,Computer Science,FOS20201,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,1005.0,15.0,990.0,63456.9,78661.9,94038.9,39.2
Master's degree,LOS070,5 years,YSG05,Public administration and other social service professions,FOS21009,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,910.0,0.0,910.0,63022.0,77717.1,92620.1,37.3
Master's degree,LOS070,5 years,YSG05,"Design, music, performing, fine and applied arts",FOS208,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,875.0,0.0,875.0,31679.9,47772.7,63485.4,39.1
Master's degree,LOS070,5 years,YSG05,"Electrical, Electronics and Communications Engineering",FOS20401,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,865.0,0.0,850.0,65624.2,81155.4,98884.5,39.1
Master's degree,LOS070,5 years,YSG05,Civil engineering and related studies,FOS20404,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,800.0,15.0,780.0,66275.6,86590.0,105129.9,38.7
Master's degree,LOS070,5 years,YSG05,History,FOS20606,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,780.0,0.0,785.0,44348.1,58440.3,70852.0,35.9
Master's degree,LOS070,5 years,YSG05,Mechanical Engineering,FOS20402,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,700.0,0.0,665.0,61856.5,79431.5,103969.7,37.9
Master's degree,LOS070,5 years,YSG05,Nursing,FOS20902,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,700.0,20.0,680.0,56154.8,81381.3,94526.6,36.5
Master's degree,LOS070,5 years,YSG05,English language and literature,FOS20602,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,645.0,0.0,640.0,48893.8,63073.7,82212.1,34.1
Master's degree,LOS070,5 years,YSG05,"Communication, journalism and related programs",FOS20710,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,640.0,0.0,630.0,47541.5,67388.3,83910.7,36.2
Master's degree,LOS070,5 years,YSG05,Library science,FOS20204,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,635.0,0.0,625.0,51457.0,62296.7,74476.1,34.7
Master's degree,LOS070,5 years,YSG05,Human Resources Management and Services,FOS21004,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,570.0,0.0,560.0,52850.5,74591.2,93891.1,37.4
Master's degree,LOS070,5 years,YSG05,Theological and religious vocations,FOS20604,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,545.0,0.0,545.0,38538.7,49647.6,62481.5,41.3
Master's degree,LOS070,5 years,YSG05,Mathematics and statistics,FOS20203,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,525.0,0.0,515.0,62586.0,77234.6,96501.8,34.6
Master's degree,LOS070,5 years,YSG05,"Geography, cartography, demography and population studies and urban studies/affaires",FOS20705,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,515.0,0.0,515.0,53538.8,66584.9,82818.1,35.9
Master's degree,LOS070,5 years,YSG05,"Agriculture, agricultural operations and related sciences",FOS20101,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,505.0,0.0,505.0,53501.9,68809.2,81740.2,41.1
Master's degree,LOS070,5 years,YSG05,Other computer and information sciences and support,FOS20202,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,480.0,0.0,480.0,52609.8,68911.6,93568.1,37.9
Master's degree,LOS070,5 years,YSG05,Chemistry,FOS20502,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,400.0,0.0,395.0,53161.9,65092.2,80036.4,34.9
Master's degree,LOS070,5 years,YSG05,Computer Engineering,FOS20405,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,390.0,0.0,380.0,62769.7,85998.9,104292.7,38.1
Master's degree,LOS070,5 years,YSG05,Geological and Earth Sciences/Geosciences,FOS20503,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,370.0,0.0,360.0,67776.8,88802.7,119500.9,36.7
Master's degree,LOS070,5 years,YSG05,Public Health,FOS20903,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,370.0,0.0,375.0,61204.1,73990.5,93852.1,43.3
Master's degree,LOS070,5 years,YSG05,"Parks, recreation, leisure and fitness studies",FOS20912,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,370.0,0.0,355.0,42026.6,60142.1,73507.0,37.9
Master's degree,LOS070,5 years,YSG05,Music,FOS20803,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,330.0,0.0,330.0,26762.5,46394.0,59942.6,39.9
Master's degree,LOS070,5 years,YSG05,Chemical engineering and related studies,FOS20403,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,315.0,20.0,295.0,58681.0,85670.5,121099.2,39.9
Master's degree,LOS070,5 years,YSG05,Philosophy and religious studies,FOS20603,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,310.0,0.0,310.0,32395.7,53561.0,69314.9,36.3
Master's degree,LOS070,5 years,YSG05,"Foreign languages, literatures and linguistics",FOS20601,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,300.0,0.0,295.0,47449.6,63255.3,79586.7,33.4
Master's degree,LOS070,5 years,YSG05,"Liberal Arts and Sciences, General Studies and Humanities",FOS20605,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,295.0,0.0,290.0,50019.2,75785.2,94158.2,36.6
Master's degree,LOS070,5 years,YSG05,French language and literature,FOS20607,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,295.0,0.0,285.0,38755.1,52793.5,61857.6,30.0
Master's degree,LOS070,5 years,YSG05,Sociology,FOS20706,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,295.0,0.0,295.0,47029.5,63265.8,76804.9,35.5
Master's degree,LOS070,5 years,YSG05,Marketing,FOS21005,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,275.0,0.0,265.0,46228.2,68468.2,99548.5,38.3
Master's degree,LOS070,5 years,YSG05,Anthropology and archeology,FOS20701,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,255.0,0.0,250.0,35781.2,47765.3,70997.6,30.1
Master's degree,LOS070,5 years,YSG05,Other social sciences,FOS20707,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,250.0,0.0,255.0,49203.1,63717.7,83459.9,37.7
Master's degree,LOS070,5 years,YSG05,Fine Arts and Art Studies,FOS20802,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,245.0,0.0,245.0,0.0,49914.7,0.0,37.3
Master's degree,LOS070,5 years,YSG05,Other visual and performing arts,FOS20804,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,225.0,0.0,225.0,0.0,54765.5,0.0,39.6
Master's degree,LOS070,5 years,YSG05,Physics,FOS20504,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,185.0,0.0,165.0,0.0,71387.2,0.0,37.8
Master's degree,LOS070,5 years,YSG05,Criminology,FOS20702,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,185.0,0.0,185.0,0.0,66359.0,0.0,38.5
Master's degree,LOS070,5 years,YSG05,"Pharmacy, Pharmaceutical Sciences and Administration",FOS20909,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,170.0,0.0,165.0,0.0,96137.6,0.0,32.6
Master's degree,LOS070,5 years,YSG05,Industrial and manufacturing engineering,FOS20406,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,150.0,0.0,150.0,0.0,78422.2,0.0,38.9
Master's degree,LOS070,5 years,YSG05,Family and consumer sciences/human sciences,FOS20709,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,150.0,0.0,145.0,0.0,72818.7,0.0,35.1
"Degree in medicine, dentistry, veterinary medicine or optometry",LOS060,5 years,YSG05,Total- Major Field of Study - Classification of Instructional Programs 2000,FOS2,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,5520.0,275.0,5245.0,60785.0,75406.2,112697.0,44.9
"Degree in medicine, dentistry, veterinary medicine or optometry",LOS060,5 years,YSG05,Health professions and related programs,FOS2,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,5200.0,265.0,4940.0,62036.0,75931.9,114916.0,45.4
"Degree in medicine, dentistry, veterinary medicine or optometry",LOS060,5 years,YSG05,Medical (MD),FOS20901,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,3565.0,115.0,3455.0,61828.0,74142.5,121209.0,47.8
"Degree in medicine, dentistry, veterinary medicine or optometry",LOS060,5 years,YSG05,Dentistry,FOS20904,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,730.0,45.0,680.0,66093.0,94636.4,131330.8,38.8
"Degree in medicine, dentistry, veterinary medicine or optometry",LOS060,5 years,YSG05,Veterinary,FOS20910,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,725.0,100.0,625.0,59101.2,75418.8,85169.1,40.4
"Degree in medicine, dentistry, veterinary medicine or optometry",LOS060,5 years,YSG05,Other fields of study,FOS21100,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,315.0,10.0,305.0,40331.2,49149.3,87874.8,37.5
"Degree in medicine, dentistry, veterinary medicine or optometry",LOS060,5 years,YSG05,Optometry,FOS20907,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,185.0,0.0,180.0,0.0,99315.2,0.0,41.3
Registered apprenticeship certificate,LOS031,5 years,YSG05,Total - Major field of study - Classification of Instructional Programs (CIP) 2000,FOS1,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,49165.0,1895.0,47265.0,36862.2,56215.0,79009.2,41.3
Registered apprenticeship certificate,LOS031,5 years,YSG05,All apprenticeship or trades certificates or diplomas,FOS1,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,43925.0,1660.0,42265.0,37953.8,57290.7,80050.1,41.6
Registered apprenticeship certificate,LOS031,5 years,YSG05,"Architecture, engineering technologies and trades",FOS150,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,34110.0,1250.0,32865.0,44069.4,62575.4,84383.7,42.3
Registered apprenticeship certificate,LOS031,5 years,YSG05,Construction trades,FOS110,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,14225.0,565.0,13665.0,46243.0,65729.8,86704.1,41.5
Registered apprenticeship certificate,LOS031,5 years,YSG05,Mechanic and repair technologies,FOS111,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,12670.0,365.0,12310.0,44322.7,61306.5,82528.8,43.3
Registered apprenticeship certificate,LOS031,5 years,YSG05,Precision production,FOS112,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,6740.0,305.0,6435.0,41295.0,58979.8,81641.0,42.0
Registered apprenticeship certificate,LOS031,5 years,YSG05,Personal and culinary services,FOS113,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,6620.0,320.0,6295.0,22128.1,35544.7,55354.6,39.0
Registered apprenticeship certificate,LOS031,5 years,YSG05,Vehicle Maintenance and Repair Technologies,FOS1117,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,6555.0,230.0,6325.0,42288.4,55790.6,73552.4,42.6
Registered apprenticeship certificate,LOS031,5 years,YSG05,Precision Metal Working and production trades,FOS1122,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,6110.0,280.0,5830.0,42780.4,60679.4,83089.4,42.0
Registered apprenticeship certificate,LOS031,5 years,YSG05,Electrical and Power Transmission Installers,FOS1104,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,5490.0,195.0,5290.0,54426.6,72966.5,93379.1,41.3
Registered apprenticeship certificate,LOS031,5 years,YSG05,Other fields of study,FOS1190,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,5240.0,235.0,5000.0,31739.0,48298.4,70407.5,38.9
Registered apprenticeship certificate,LOS031,5 years,YSG05,Plumbing and Related Water Supply Services,FOS1106,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,3500.0,160.0,3345.0,51814.9,67936.2,86018.9,42.0
Registered apprenticeship certificate,LOS031,5 years,YSG05,Heavy/Industrial Equipment Maintenance Technologies,FOS1114,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,3125.0,50.0,3080.0,52235.0,75940.3,100437.4,46.2
Registered apprenticeship certificate,LOS031,5 years,YSG05,Carpentry/Carpenter,FOS1103,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,2975.0,115.0,2855.0,34656.9,52777.7,76260.2,41.6
Registered apprenticeship certificate,LOS031,5 years,YSG05,Cosmetology and Related Personal Grooming Services,FOS1132,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,2865.0,220.0,2645.0,15921.8,25418.7,38997.9,35.5
Registered apprenticeship certificate,LOS031,5 years,YSG05,Culinary arts and related services,FOS1131,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,1920.0,45.0,1875.0,25748.0,36546.6,52701.7,39.9
Registered apprenticeship certificate,LOS031,5 years,YSG05,Ground Transportation,FOS1135,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,1545.0,45.0,1495.0,34751.9,52919.1,79865.4,44.2
Registered apprenticeship certificate,LOS031,5 years,YSG05,"Building/Construction Finishing, Management and Inspection",FOS1105,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,1305.0,50.0,1255.0,40040.9,56429.3,75875.9,40.0
Registered apprenticeship certificate,LOS031,5 years,YSG05,General mechanics and repairers,FOS1111,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,1040.0,25.0,1015.0,34433.1,52001.7,69921.9,41.9
Registered apprenticeship certificate,LOS031,5 years,YSG05,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR)",FOS1113,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,915.0,25.0,885.0,52255.1,69284.3,87831.5,40.6
